Order_ID,Order_Date,Customer_ID,Region,Product,Category,Sales,Quantity,Profit
ORD-2024-10001,2023-04-13,CUST-0072,West,Headphones,Electronics,862.41,5,90.21
ORD-2024-10002,2023-11-27,CUST-0104,East,Tablet,Electronics,1696.57,8,118.33
ORD-2024-10003,2023-12-10,CUST-0192,West,Table,Furniture,785.24,5,207.37
ORD-2024-10004,2023-09-10,CUST-0059,West,Laptop,Electronics,571.79,3,225.36
ORD-2024-10005,2023-05-11,CUST-0073,North,Stapler,Office Supplies,112.74,7,42.82
ORD-2024-10006,2023-01-14,CUST-0090,South,Chair,Furniture,669.27,5,89.92
ORD-2024-10007,2023-09-21,CUST-0164,East,Paper,Office Supplies,42.6,2,6.78
ORD-2024-10008,2023-02-23,CUST-0191,South,Lamp,Furniture,333.02,2,126.16
ORD-2024-10009,2023-09-27,CUST-0190,East,Envelopes,Office Supplies,182.05,8,56.72
ORD-2024-10010,2023-02-22,CUST-0188,West,Chair,Furniture,1239.99,9,133.72
ORD-2024-10011,2023-12-11,CUST-0136,East,Laptop,Electronics,1289.01,8,154.16
ORD-2024-10012,2023-06-12,CUST-0005,East,Headphones,Electronics,1484.6,7,549.65
ORD-2024-10013,2023-07-20,CUST-0048,West,Chair,Furniture,970.61,7,159.0
ORD-2024-10014,2023-04-09,CUST-0035,West,Sofa,Furniture,142.98,1,55.78
ORD-2024-10015,2023-05-11,CUST-0142,North,Smartphone,Electronics,1142.64,7,341.34
ORD-2024-10016,2023-12-12,CUST-0063,South,Headphones,Electronics,1386.21,7,342.6
ORD-2024-10017,2023-08-10,CUST-0143,North,Stapler,Office Supplies,94.17,4,24.45
ORD-2024-10018,2023-08-31,CUST-0045,South,Table,Furniture,1136.97,9,238.52
ORD-2024-10019,2023-04-18,CUST-0128,West,Sofa,Furniture,1216.36,7,196.2
ORD-2024-10020,2023-08-13,CUST-0190,North,Headphones,Electronics,2028.97,9,712.69
ORD-2024-10021,2023-12-25,CUST-0062,South,Paper,Office Supplies,107.7,5,15.54
ORD-2024-10022,2023-06-01,CUST-0180,East,Paper,Office Supplies,16.52,1,2.29
ORD-2024-10023,2023-09-25,CUST-0131,South,Pens,Office Supplies,17.18,1,6.86
ORD-2024-10024,2023-07-06,CUST-0054,North,Table,Furniture,957.03,7,352.08
ORD-2024-10025,2023-05-06,CUST-0160,South,Tablet,Electronics,1076.19,6,306.98
ORD-2024-10026,2023-07-22,CUST-0038,West,Paper,Office Supplies,158.1,8,62.32
ORD-2024-10027,2023-08-28,CUST-0124,West,Laptop,Electronics,1293.99,6,453.45
ORD-2024-10028,2023-09-09,CUST-0195,East,Pens,Office Supplies,56.37,3,4.72
ORD-2024-10029,2023-05-08,CUST-0011,East,Chair,Furniture,1141.28,9,426.43
ORD-2024-10030,2023-10-25,CUST-0144,East,Envelopes,Office Supplies,181.2,9,25.6
ORD-2024-10031,2023-10-31,CUST-0160,South,Smartwatch,Electronics,1309.86,7,225.59
ORD-2024-10032,2023-10-31,CUST-0152,West,Envelopes,Office Supplies,133.43,6,36.65
ORD-2024-10033,2023-03-16,CUST-0112,North,Bookshelf,Furniture,1438.29,9,74.46
ORD-2024-10034,2023-12-04,CUST-0189,South,Sofa,Furniture,1175.0,9,66.18
ORD-2024-10035,2023-10-04,CUST-0145,West,Binder,Office Supplies,20.34,1,4.64
ORD-2024-10036,2023-01-22,CUST-0051,South,Lamp,Furniture,1046.2,6,211.37
ORD-2024-10037,2023-10-04,CUST-0111,South,Tablet,Electronics,175.62,1,53.19
ORD-2024-10038,2023-05-27,CUST-0017,West,Paper,Office Supplies,115.34,5,35.95
ORD-2024-10039,2023-02-06,CUST-0046,West,Laptop,Electronics,1028.92,5,404.48
ORD-2024-10040,2023-04-26,CUST-0160,East,Smartwatch,Electronics,1270.35,7,279.28
ORD-2024-10041,2023-01-18,CUST-0067,North,Table,Furniture,993.8,8,122.36
ORD-2024-10042,2023-12-08,CUST-0130,East,Sofa,Furniture,170.92,1,16.72
ORD-2024-10043,2023-09-03,CUST-0170,West,Stapler,Office Supplies,135.51,7,18.93
ORD-2024-10044,2023-01-13,CUST-0036,West,Chair,Furniture,635.99,4,188.05
ORD-2024-10045,2023-05-22,CUST-0098,West,Envelopes,Office Supplies,39.02,2,11.13
ORD-2024-10046,2023-02-20,CUST-0150,North,Lamp,Furniture,810.09,6,51.52
ORD-2024-10047,2023-09-28,CUST-0101,South,Envelopes,Office Supplies,22.62,1,3.28
ORD-2024-10048,2023-04-18,CUST-0006,North,Envelopes,Office Supplies,77.16,4,22.75
ORD-2024-10049,2023-11-04,CUST-0124,West,Smartphone,Electronics,670.84,3,97.13
ORD-2024-10050,2023-04-02,CUST-0117,South,Pens,Office Supplies,135.99,7,39.57
ORD-2024-10051,2023-05-09,CUST-0034,South,Chair,Furniture,977.25,6,274.67
